run_id,replication_id,condition_id,calibration_ratio,funding_intensity,market_intensity,price_impact_lambda,market_event_probability,cash_scenario,day,at_risk_start,at_risk_end,exit_count,funding_exit_count,insolvency_exit_count,joint_exit_count,market_event,market_loss_fraction,price_impact_loss,forced_sale_fraction,asset_price,preimpact_forced_sale_value,forced_sale_proceeds,total_funding_requested,total_funding_repaid,total_unpaid,total_liabilities,mean_active_equity,mean_active_cash
rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,0,0,0.15,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3584685751,1,0.125973117689
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,1,10,10,0,0,0,0,1,0.0942675366094,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0_p_0p1_cash_baseline,0.5,0,1,0,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,1,10,10,0,0,0,0,1,0.0942675366094,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,0,1,0.15,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,0.905732463391,0,0,0,0,0,15.3584685751,0.772827139007,0.125973117689
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,1,10,10,0,0,0,0,1,0.192266360228,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0_p_0p1_cash_baseline,0.5,0,2,0,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,1,10,10,0,0,0,0,1,0.192266360228,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,0,2,0.15,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,0.807733639772,0,0,0,0,0,15.3584685751,0.536662347434,0.125973117689
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0.0992153600564,0.0992153600564,0,12.276337451,1,0.123987907475
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0.0985061756015,0.0985061756015,0,12.1778312754,1,0.114137289915
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0.109461386191,0.109461386191,0,12.0683698892,1,0.103191151296
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0.104548671653,0.104548671653,0,11.9638212175,1,0.0927362841308
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0.103478397503,0.103478397503,0,11.86034282,1,0.0823884443805
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0.104062116786,0.104062116786,0,15.2544064583,1,0.11556690601
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0.099425263556,0.099425263556,0,15.1549811948,1,0.105624379654
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0.10485292473,0.10485292473,0,15.05012827,1,0.0951390871814
rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_0_lambda_0_p_0p1_cash_baseline,0.5,1,0,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0.106195264009,0.106195264009,0,14.943933006,1,0.0845195607805
