run_id,replication_id,condition_id,calibration_ratio,funding_intensity,market_intensity,price_impact_lambda,market_event_probability,cash_scenario,population,horizon,stress_budget,funding_budget,market_budget,market_event_loss_fraction,target_cumulative_funding,target_cumulative_market_loss,event_count,exit_rate,rmst_days,final_asset_price,asset_price_loss,mean_final_equity,mean_equity_loss,p90_equity_loss,worst_10pct_mean_equity_loss,mean_final_cash,mean_final_liabilities,mean_liability_reduction,mean_total_funding_requested,mean_total_funding_repaid,mean_total_unpaid,mean_forced_sale_proceeds,mean_market_value_loss,mean_fire_sale_value_loss
rho_0p5_fund_1_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,1,0,0.15,0.1,baseline,10,5,0.15,0.05,0.1,0,0.05,0,0,0,5,1,0,1,-7.77156117238e-17,1.22124532709e-16,2.22044604925e-16,0.0823884443805,1.186034282,0.0515209991004,0.0515209991004,0.0515209991004,0,0,0,0
rho_0p5_fund_1_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,1,0,0.15,0.1,baseline,10,5,0.15,0.05,0.1,0,0.05,0,0,0,5,1,0,1,3.33066907388e-17,2.33146835171e-16,3.33066907388e-16,0.0733856232187,1.48325936304,0.0525874944699,0.0525874944699,0.0525874944699,0,0,0,0
rho_0p5_fund_1_market_1_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_1_lambda_0_p_0p1_cash_baseline,0.5,1,1,0,0.1,baseline,10,5,0.15,0.05,0.1,0.0942675366094,0.05,0.1,0,0,5,1,0,1,-7.77156117238e-17,1.22124532709e-16,2.22044604925e-16,0.0823884443805,1.186034282,0.0515209991004,0.0515209991004,0.0515209991004,0,0,0,0
rho_0p5_fund_1_market_1_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_1_lambda_0_p_0p1_cash_baseline,0.5,1,1,0,0.1,baseline,10,5,0.15,0.05,0.1,0.0942675366094,0.05,0.1,0,0,5,0.905732463391,0.0942675366094,0.772827139007,0.227172860993,0.244476745084,0.250832552119,0.0733856232187,1.48325936304,0.0525874944699,0.0525874944699,0.0525874944699,0,0,0.227172860993,0
rho_0p5_fund_1_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,1,1,0.15,0.1,baseline,10,5,0.15,0.05,0.1,0.0942675366094,0.05,0.1,0,0,5,1,0,1,-7.77156117238e-17,1.22124532709e-16,2.22044604925e-16,0.0823884443805,1.186034282,0.0515209991004,0.0515209991004,0.0515209991004,0,0,0,0
rho_0p5_fund_1_market_1_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_1_lambda_0p15_p_0p1_cash_baseline,0.5,1,1,0.15,0.1,baseline,10,5,0.15,0.05,0.1,0.0942675366094,0.05,0.1,0,0,5,0.905732463391,0.0942675366094,0.772827139007,0.227172860993,0.244476745084,0.250832552119,0.0733856232187,1.48325936304,0.0525874944699,0.0525874944699,0.0525874944699,0,0,0.227172860993,0
rho_0p5_fund_1_market_2_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_2_lambda_0_p_0p1_cash_baseline,0.5,1,2,0,0.1,baseline,10,5,0.15,0.05,0.1,0.192266360228,0.05,0.2,0,0,5,1,0,1,-7.77156117238e-17,1.22124532709e-16,2.22044604925e-16,0.0823884443805,1.186034282,0.0515209991004,0.0515209991004,0.0515209991004,0,0,0,0
rho_0p5_fund_1_market_2_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_2_lambda_0_p_0p1_cash_baseline,0.5,1,2,0,0.1,baseline,10,5,0.15,0.05,0.1,0.192266360228,0.05,0.2,0,0,5,0.807733639772,0.192266360228,0.536662347434,0.463337652566,0.498630341137,0.511593530046,0.0733856232187,1.48325936304,0.0525874944699,0.0525874944699,0.0525874944699,0,0,0.463337652566,0
rho_0p5_fund_1_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_1_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,1,2,0.15,0.1,baseline,10,5,0.15,0.05,0.1,0.192266360228,0.05,0.2,0,0,5,1,0,1,-7.77156117238e-17,1.22124532709e-16,2.22044604925e-16,0.0823884443805,1.186034282,0.0515209991004,0.0515209991004,0.0515209991004,0,0,0,0
rho_0p5_fund_1_market_2_lambda_0p15_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_1_market_2_lambda_0p15_p_0p1_cash_baseline,0.5,1,2,0.15,0.1,baseline,10,5,0.15,0.05,0.1,0.192266360228,0.05,0.2,0,0,5,0.807733639772,0.192266360228,0.536662347434,0.463337652566,0.498630341137,0.511593530046,0.0733856232187,1.48325936304,0.0525874944699,0.0525874944699,0.0525874944699,0,0,0.463337652566,0
